feature,value
26x10,6.000167929453762e-05
26x11,4.778792979633378e-05
26x12,0.0015840474747366095
26x13,0.0007174024738562466
26x14,0.00019092115345552025
26x15,0.0008910643105463864
26x16,0.00019189787786995783
26x17,0.004661947466419111
26x18,0.0004900135438349757
26x19,2.368807761226673e-05
26x20,1.936824069466278e-05
26x21,8.926761006900693e-06
26x22,1.9723234191354724e-06
26x23,3.139523431399425e-07
26x24,1.5711771034933714e-07
26x25,1.6013263203664827e-07
26x26,1.2776134372636432e-07
26x27,1.357014382283073e-07
26x28,1.0536723326736474e-07
27x1,1.6091296302261732e-07
27x2,1.4324790856672986e-07
27x3,1.4921759057563973e-07
27x4,1.5118774274161436e-07
27x5,1.3012310137681267e-07
27x6,1.8662239204820389e-07
27x7,3.0780374829957573e-07
27x8,7.172689343406495e-07
27x9,4.668136646169405e-07
27x10,1.6876785031565099e-06
27x11,3.7825663267048682e-06
27x12,2.4432637208032097e-05
27x13,4.039192287062597e-06
27x14,5.362456033293808e-05
27x15,1.6845602017656407e-05
27x16,2.759736253077013e-05
27x17,7.068607290600386e-06
27x18,2.218620541676747e-06
27x19,6.750699020086492e-07
27x20,1.5049445067600972e-06
27x21,4.5327606488457965e-07
27x22,1.4536448892958811e-07
27x23,1.5996643949385798e-07
27x24,1.6015149522993642e-07
27x25,1.4990228893655806e-07
27x26,1.2190659661919654e-07
27x27,1.4658146619066233e-07
27x28,1.4847839546687137e-07
28x1,9.598166260865503e-08
28x2,1.4074067140195859e-07
28x3,1.512047501401518e-07
28x4,1.529373580102536e-07
28x5,1.5258909228091142e-07
28x6,1.6728090522802643e-07
28x7,1.3876121741565593e-07
28x8,1.2054486298204688e-07
28x9,1.3077960424843847e-07
28x10,1.572932938635284e-07
28x11,1.287757659806643e-07
28x12,1.4568210649915107e-07
28x13,1.4507192601113466e-07
28x14,1.3355762662200457e-07
28x15,6.281568569192829e-07
28x16,2.096401286957582e-07
28x17,2.1628606809919467e-07
28x18,2.1725261047880706e-07
28x19,2.779203542761187e-07
28x20,1.3993139312526313e-07
28x21,1.3777797956097818e-07
28x22,1.3193783052624155e-07
28x23,1.5191650170916405e-07
28x24,1.4439744060896994e-07
28x25,1.5609161153532528e-07
28x26,1.5753825962149595e-07
28x27,1.4908484807400934e-07
28x28,1.2467610344257133e-07
